id,token0,token1,totalValueLockedUSD,volumeUSD
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,{'symbol': 'USDC'},{'symbol': 'WETH'},486650579.293077780487515728956279,534454878828.5189945871928421765037
0x11b815efb8f581194ae79006d24e0d814b7697f6,{'symbol': 'WETH'},{'symbol': 'USDT'},93073845.22579262086794696740139637,114903375935.7807370021420583245557
0x3416cf6c708da44db2624d63ea0aaef7113527c6,{'symbol': 'USDC'},{'symbol': 'USDT'},39650444.84820899999999999999999999,95173770090.86180409620331643942896
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,{'symbol': 'WBTC'},{'symbol': 'WETH'},131506188.1706571499762584788821158,84003475637.31437771783240689086767
0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,{'symbol': 'USDC'},{'symbol': 'WETH'},310603903.0893614036098953147482628,82086304783.56247548282349482904637
